,cidade
868,igarapava
869,igarassu
870,igarata
871,igrapiuna
872,igreja-nova
874,iguaracu
875,iguaracy
876,iguatu
877,ijui
878,ilha-solteira
879,ilheus
880,ilhota
881,imaculada
882,imarui
883,imbau
884,imbe
885,imbituba
886,imbituva
887,imbuia
888,imperatriz
890,inacio-martins
891,inaja
892,inconfidentes
893,indaial
894,indaiatuba
895,independencia
896,indiapora
898,inga
899,inhambupe
900,inhapim
901,inhuma
902,inhumas
903,inimutaba
904,inocencia
905,ipameri
906,ipanema
907,ipaporanga
908,ipatinga
909,ipaumirim
910,ipaussu
911,ipiacu
912,ipiau
913,ipira
914,ipiranga
915,ipiranga-do-piaui
916,ipojuca
917,ipora
918,ipora
919,ipora-do-oeste
920,ipu
921,ipua
922,ipuacu
923,ipueiras
924,ipuiuna
925,ipumirim
926,iracema
927,iraceminha
928,irai
929,irai-de-minas
930,iramaia
931,irapuru
932,iraquara
934,irati
935,iraucuba
936,irece
937,iretama
938,irineopolis
939,israelandia
940,itabaiana
941,itabela
942,itaberaba
943,itaberai
944,itabira
945,itabirito
946,itaborai
947,itabuna
948,itacaja
949,itacarambi
950,itacoatiara
951,itaete
952,itagimirim
953,itaguacu
954,itaguai
955,itaguaje
956,itaguara
957,itai
959,itaicaba
960,itaiopolis
961,itaituba
962,itaja
963,itajai
964,itajuba
965,itajuipe
966,italva
967,itamaraju
968,itamarandiba
969,itambacuri
970,itambe
971,itambe-do-mato-dentro
972,itanhaem
973,itanhandu
974,itanhem
975,itanhomi
976,itaobim
977,itapaci
978,itapagipe
979,itapaje
980,itapecuru-mirim
982,itaperuna
983,itapetim
984,itapetinga
985,itapetininga
986,itapeva
987,itapeva
988,itapevi
989,itapipoca
990,itapira
991,itapiranga
992,itapiranga
993,itapirapua
994,itapoa
995,itapolis
996,itapora
997,itaporanga
999,itapororoca
1000,itapua-do-oeste
1001,itapuranga
1002,itaqui
1003,itaquirai
1004,itarana
1005,itarare
1006,itarema
1007,itaruma
1008,itatiaia
1009,itatiaiucu
1010,itatiba
1011,itatim
1012,itatuba
1013,itauba
1014,itaucu
1015,itau-de-minas
1017,itauna
1019,itirapua
1020,itiuba
1021,itobi
1022,itororo
1023,itu
1024,itubera
1025,itueta
1026,ituiutaba
1027,itumbiara
1028,itumirim
1029,itupiranga
1030,ituporanga
1031,iturama
1032,itutinga
1033,ituverava
1034,iuna
1035,ivai
1036,ivaipora
1037,ivinhema
1038,ivolandia
1039,jabora
1040,jaborandi
1041,jaborandi
1042,jaboti
1043,jaboticabal
1044,jacarau
1045,jacarei
1046,jacarezinho
1047,jaciara
1048,jacinto-machado
1049,jacobina
1050,jacui
1052,jacupiranga
1053,jacutinga
1054,jaguapita
1055,jaguaquara
1056,jaguarari
1057,jaguare
1058,jaguaretama
1059,jaguariaiva
1060,jaguaribara
1061,jaguaribe
1062,jaguariuna
1063,jaguaruana
1064,jaicos
1065,jales
1066,jandaia-do-sul
1067,jandira
1068,jangada
1069,janiopolis
1070,januaria
1071,japaraiba
1072,japeri
1073,japonvar
1074,jaragua
1075,jaragua-do-sul
1076,jardim
1077,jardim-alegre
1078,jardim-olinda
1079,jarinu
1080,jaru
1081,jatai
1082,jataizinho
1083,jatauba
1084,jatei
1085,jati
1086,jatoba
1087,jau
1088,jaupaci
1089,jequie
1287,mateus-leme
1288,matias-barbosa
1289,matias-olimpio
1290,matinha
1291,matinhos
1292,matipo
1293,matoes
1294,matozinhos
1295,matrincha
1296,matupa
1297,matureia
1298,matutina
1299,maua
1300,maua-da-serra
1301,maurilandia
1302,mauriti
1303,medeiros-neto
1304,medianeira
1305,medicilandia
1306,medina
1308,mendes
1309,mendes-pimentel
1310,mercedes
1311,merces
1312,mesquita
1313,messias
1314,miguel-calmon
1315,miguelopolis
1316,miguel-pereira
1438,nova-alvorada-do-sul
1439,nova-andradina
1440,nova-aurora
1441,nova-aurora
